name,badge,discount,price,old_price,product_url,Link
BULLPADEL RAIDER CONTROL,Out of stock,41,58.95,99.95,https://www.padelnuestro.com/int/bullpadel-raider-control-21725-p,Clickme
BULLPADEL ELITE W WOMAN 2023,Out of stock,61,109.95,279.95,https://www.padelnuestro.com/int/bullpadel-elite-w-woman-2023-32429-p,Clickme
HEAD MONSTER KIDS PADEL RACKET,,40,44.95,74.95,https://www.padelnuestro.com/int/head-monster-kids-padel-racket-26444-p,Clickme
HEAD DELTA JUNIOR 2022 PADEL RACKET,,50,49.95,99.95,https://www.padelnuestro.com/int/head-delta-junior-2022-padel-racket-26443-p,Clickme
HEAD ONE ULTRALIGHT WHITE 2025,,42,139.95,239.95,https://www.padelnuestro.com/int/head-one-ultralight-white-2025,Clickme
HEAD SPEED ONE 2025,,10,251.95,280,https://www.padelnuestro.com/int/head-speed-one-2025,Clickme
HEAD SPEED ONE X 2025,,10,269.95,300,https://www.padelnuestro.com/int/head-speed-one-x-2025,Clickme
HEAD EXTREME ONE 2023,,41,164.95,279.95,https://www.padelnuestro.com/int/head-extreme-one-2023-110103-p,Clickme
HEAD COELLO PRO 2025,,10,314.95,350,https://www.padelnuestro.com/int/head-coello-pro-2025,Clickme
HEAD COELLO MOTION 2025,,10,314.95,350,https://www.padelnuestro.com/int/head-coello-motion-2025,Clickme
HEAD GRAPHENE TOUCH ALPHA PRO,Exclusive,52,129.95,269.95,https://www.padelnuestro.com/int/head-graphene-touch-alpha-pro-29557-p,Clickme
HEAD COELLO TEAM 2025,,23,169.95,219.95,https://www.padelnuestro.com/int/head-coello-team-2025,Clickme
HEAD COELLO VIBE 2025,,25,104.95,140,https://www.padelnuestro.com/int/head-coello-vibe-2025,Clickme
HEAD VIBE BLACK/PURPLE 2025,,30,69.95,99.99,https://www.padelnuestro.com/int/head-vibe-black-purple-2025,Clickme
HEAD EVO SPEED 2025,,11,79.95,89.95,https://www.padelnuestro.com/int/head-evo-speed-2025,Clickme
HEAD COELLO JUNIOR 2025,,18,89.95,110,https://www.padelnuestro.com/int/head-coello-junior-2025,Clickme
HEAD BOLT TALL/BLACK 2025,,25,74.95,99.95,https://www.padelnuestro.com/int/head-bolt-tall-black-2025,Clickme
HEAD VIBE BLUE/RED 2025,,30,69.95,99.95,https://www.padelnuestro.com/int/pala-head-vibe-2025-bl-rd-226135,Clickme
HEAD SPEED PRO 2025,,10,251.95,280,https://www.padelnuestro.com/int/head-speed-pro-2025,Clickme
HEAD SPEED JUNIOR 2025,,20,79.95,99.95,https://www.padelnuestro.com/int/head-speed-junior-2025,Clickme
HEAD BOLT 2025 BLUE,,30,69.95,99.95,https://www.padelnuestro.com/int/head-bolt-2025-blue,Clickme
HEAD BOLT 2025 BLACK,,25,74.95,99.95,https://www.padelnuestro.com/int/head-bolt-2025,Clickme
HEAD SPEED TEAM 2025,,10,179.95,200,https://www.padelnuestro.com/int/head-speed-team-2025,Clickme
HEAD ONE ULTRALIGHT BLACK 2025,,42,139.95,239.95,https://www.padelnuestro.com/int/pala-head-one-ultralight-black-225024,Clickme
HEAD SPEED MOTION 2025 - ARI SANCHEZ,,15,204.95,240,https://www.padelnuestro.com/int/head-speed-motion-2025,Clickme
HEAD SPEED PRO X 2025,,10,269.95,300,https://www.padelnuestro.com/int/head-speed-pro-x-2025,Clickme
HEAD EXTREME MOTION 2023 PADEL RACKET,,33,159.95,239.95,https://www.padelnuestro.com/int/head-extreme-motion-2023-padel-racket-110102-p,Clickme
HEAD EXTREME ELITE 2023,,40,119.95,199.95,https://www.padelnuestro.com/int/head-extreme-elite-2023-110100-p,Clickme
HEAD GRAVITY TEAM 2024,,33,119.95,179.95,https://www.padelnuestro.com/int/head-gravity-team-2024-113826-p,Clickme
HEAD GRAVITY TEAM LIGHT 2024,,27,109.95,149.95,https://www.padelnuestro.com/int/head-gravity-team-light-2024-113829-p,Clickme
Head Radical Pro 2024,,36,179.95,279.95,https://www.padelnuestro.com/int/head-radical-pro-2024-111513-p,Clickme
Head Radical Motion 2024,,40,144.95,239.95,https://www.padelnuestro.com/int/head-radical-motion-2024-111512-p,Clickme
Head Radical Elite 2024,,45,109.95,199.95,https://www.padelnuestro.com/int/head-radical-elite-2024-111511-p,Clickme
HEAD EVO EXTREME 2023,,28,64.95,89.95,https://www.padelnuestro.com/int/head-evo-extreme-2023-110099-p,Clickme
HEAD SPEED JUNIOR 2023,,30,69.95,99.95,https://www.padelnuestro.com/int/head-speed-junior-2023-32522-p,Clickme
HEAD EXTREME JUNIOR 2023 PADEL RACKET,,30,69.95,99.95,https://www.padelnuestro.com/int/head-extreme-junior-2023-padel-racket-110101-p,Clickme
HEAD MONSTER KIDS,,20,59.95,74.95,https://www.padelnuestro.com/int/head-monster-kids-112549-p,Clickme
HEAD SPEED ELITE 2023,Out of stock,57,94.95,219.95,https://www.padelnuestro.com/int/head-speed-elite-2023-32511-p,Clickme
HEAD FLASH W 2022 228272,Out of stock,39,54.95,90,https://www.padelnuestro.com/int/head-flash-w-2022-228272-26441-p,Clickme
HEAD GRAPHENE XT SPARK CONTROL 2 WITH CB,Out of stock,65,69.95,200,https://www.padelnuestro.com/int/head-graphene-xt-spark-control-2-with-cb-29571-p,Clickme
HEAD ULTIMATE POWER YELLOW WITH CB,Out of stock,56,69.95,160,https://www.padelnuestro.com/int/head-ultimate-power-yellow-with-cb-29566-p,Clickme
HEAD EXTREME PRO,Out of stock,34,184.95,279.95,https://www.padelnuestro.com/int/head-extreme-pro-110105-p,Clickme
HEAD GRAPHENE 360+ ALPHA TOUR,Out of stock,58,99.95,239.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-tour-104744-p,Clickme
HEAD COELLO PRO SPECIAL PACKAGING 2025,,10,314.95,349.95,https://www.padelnuestro.com/int/head-coello-pro-special-packaging-2025,Clickme
RED HEAD CALIBRE PADEL RACKET,Out of stock,72,44.95,159.95,https://www.padelnuestro.com/int/red-head-calibre-padel-racket,Clickme
HEAD GRAPHENE 360 ALPHA TOUR,Out of stock,65,84.95,239.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-tour-22959-p,Clickme
HEAD GRAPHENE 360 DELTA GOLD,Out of stock,60,99.95,250,https://www.padelnuestro.com/int/head-graphene-360-delta-gold-25217-p,Clickme
HEAD GRAPHENE 360 ALPHA CONTROL,Out of stock,50,119.95,239.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-control-29570-p,Clickme
HEAD GRAVITY PRO 2024,Out of stock,29,169.95,239.95,https://www.padelnuestro.com/int/head-gravity-pro-2024-113828-p,Clickme
