name,badge,discount,old_price,price,product_url,category,brand
BULLPADEL NEURON TF 2024,Out of stock,50,399.95,199.95,https://www.padelnuestro.com/int/bullpadel-neuron-tf-2024,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 W PREMIER 2025,Out of stock,20,249.95,199.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-premier-2025,padel-rackets,Bullpadel
BULLPADEL HACK 03 MASTER FINAL 2022,Out of stock,63,449.95,164.95,https://www.padelnuestro.com/int/bullpadel-hack-03-master-final-2022-32445-p,padel-rackets,Bullpadel
BULLPADEL IONIC LIGHT 2025,Out of stock,23,149.96,114.95,https://www.padelnuestro.com/int/bullpadel-ionic-light-2025,padel-rackets,Bullpadel
BULLPADEL IONIC LIGHT TF 2024,Out of stock,33,239.95,159.95,https://www.padelnuestro.com/int/bullpadel-ionic-light-tf-2024,padel-rackets,Bullpadel
BULLPADEL XPLO TF 2024,Out of stock,46,399.95,214.95,https://www.padelnuestro.com/int/bullpadel-xplo-tf-2024,padel-rackets,Bullpadel
BULLPADEL FLOW WOMAN,Out of stock,57,235,99.95,https://www.padelnuestro.com/int/bullpadel-flow-woman,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 TF 2024,Out of stock,46,399.99,214.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-tf-2024,padel-rackets,Bullpadel
Bullpadel Pearl Tf 2024,Out of stock,50,300,149.95,https://www.padelnuestro.com/int/bullpadel-pearl-tf-2024,padel-rackets,Bullpadel
BULLPADEL HACK 03 JR 2024,Out of stock,39,89.95,54.95,https://www.padelnuestro.com/int/bullpadel-hack-03-jr-2024-110910-p,padel-rackets,Bullpadel
BULLPADEL HACK 04 TF 2024,Out of stock,46,399.95,214.95,https://www.padelnuestro.com/int/bullpadel-hack-04-tf-2024,padel-rackets,Bullpadel
BULLPADEL ELITE TF 24,Out of stock,46,300,161.95,https://www.padelnuestro.com/int/bullpadel-elite-tf-24,padel-rackets,Bullpadel
BULLPADEL VERTEX 03 COMFORT 2022,Out of stock,51,224.95,109.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2022-26113-p,padel-rackets,Bullpadel
BULLPADEL LEGEND 4.0 WOMAN,Out of stock,65,199.95,69.95,https://www.padelnuestro.com/int/bullpadel-legend-4-0-woman-26842-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 03 WOMAN 2022,Out of stock,56,224.95,99.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-woman-2022-26111-p,padel-rackets,Bullpadel
