name,badge,discount,old_price,price,product_url,brand
Babolat Drive Junior 24 W Racket 2025,New,,,64.95,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_24_W_Racket_2025/descpageRCQBA-BDJ24W-EN.html,Babolat
"Babolat Nadal Junior 23"" Racket",,,44.95,39.9,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_23_Racket/descpageRCQBA-NAJ23B-EN.html,Babolat
"Babolat B'Fly 23"" 2023 Junior Racket",Reduced,14,34.95,29.9,https://www.tenniswarehouse-europe.com/Babolat_BFly_23_2023_Junior_Racket/descpageRCQBA-BBF23J-EN.html,Babolat
"Babolat Nadal Junior 21"" Racket",,,44.95,39.9,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_21_Racket/descpageRCQBA-NAJ21B-EN.html,Babolat
"Babolat Nadal Junior 19"" Racket",,,44.95,39.9,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_19_Racket/descpageRCQBA-NAJ19B-EN.html,Babolat
"Babolat B'Fly 21"" 2023 Junior Racket",Reduced,18,32.95,26.88,https://www.tenniswarehouse-europe.com/Babolat_BFly_21_2023_Junior_Racket/descpageRCQBA-BBF21J-EN.html,Babolat
Babolat Ballfighter 21'' Junior Racket,Reduced,15,32.95,27.89,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_21_Junior_Racket/descpageRCQBA-BB21R-EN.html,Babolat
Babolat Ballfighter 19'' Junior Racket,Sale,18,32.95,26.88,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_19_Junior_Racket/descpageRCQBA-BB19R-EN.html,Babolat
"Babolat B'Fly 17"" 2023 Junior Racket",Reduced,18,32.95,26.88,https://www.tenniswarehouse-europe.com/Babolat_BFly_17_2023_Junior_Racket/descpageRCQBA-BBF17J-EN.html,Babolat
Wilson Clash 100 Pro V3.0 Racket,New,,250,224.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_100_Pro_V30_Racket/descpageRCWILSON-WC1V3P-EN.html,Wilson
Wilson Clash 100 V3.0 Racket,Reduced,25,250,186.91,https://www.tenniswarehouse-europe.com/Wilson_Clash_100_V30_Racket/descpageRCWILSON-WC10V3-EN.html,Wilson
Wilson Clash 100L V3.0 Racket,New,,230,205.89,https://www.tenniswarehouse-europe.com/Wilson_Clash_100L_V30_Racket/descpageRCWILSON-WC10L3-EN.html,Wilson
Wilson Clash Team 103 V3.0 Racket,New,,170,152.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_Team_103_V30_Racket/descpageRCWILSON-WCT103-EN.html,Wilson
Wilson Clash 100 UL V3.0 Racket,New,,210,188.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_100_UL_V30_Racket/descpageRCWILSON-WC1UL3-EN.html,Wilson
Wilson Clash 100 V3.0 Roland Garros Racket (2025),New,,250,224.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_100_V30_Roland_Garros_Racket_2025/descpageRCWILSON-WC13RG-EN.html,Wilson
Wilson Clash 98 V2.0 Racket,Sale,50,270,134.9,https://www.tenniswarehouse-europe.com/Wilson_Clash_98_V20_Racket/descpageRCWILSON-WC98P-EN.html,Wilson
Wilson Blade 98 V9 16x19 Roland Garros (2025) Racket,New,,280,248.91,https://www.tenniswarehouse-europe.com/Wilson_Blade_98_V9_16x19_Roland_Garros_2025_Racket/descpageRCWILSON-WBRG25-EN.html,Wilson
Wilson Blade 98 16x19 v9 Racket,Reduced,35,280,179.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_98_16x19_v9_Racket/descpageRCWILSON-WB9816-EN.html,Wilson
Wilson Blade 98 18x20 v9 Racket,Reduced,35,280,179.5,https://www.tenniswarehouse-europe.com/Wilson_Blade_98_18x20_v9_Racket/descpageRCWILSON-WB18V-EN.html,Wilson
Wilson Blade 98S v9 Racket,Reduced,32,280,187.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_98S_v9_Racket/descpageRCWILSON-WB98SV-EN.html,Wilson
Wilson Blade 100 v9 Racket,Reduced,33,270,178.89,https://www.tenniswarehouse-europe.com/Wilson_Blade_100_v9_Racket/descpageRCWILSON-WB1009-EN.html,Wilson
Wilson Blade 101L v9 Strung Racket,Sale,30,170,117.91,https://www.tenniswarehouse-europe.com/Wilson_Blade_101L_v9_Strung_Racket/descpageRCWILSON-WB101-EN.html,Wilson
Wilson Blade 104 v9 Racket,Reduced,28,250,179.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_104_v9_Racket/descpageRCWILSON-WB104-EN.html,Wilson
Wilson Blade 100UL v9 Strung Racket,Reduced,30,230,158.91,https://www.tenniswarehouse-europe.com/Wilson_Blade_100UL_v9_Strung_Racket/descpageRCWILSON-WBULV-EN.html,Wilson
Wilson Blade 100L v9 Racket,Reduced,31,240,164.9,https://www.tenniswarehouse-europe.com/Wilson_Blade_100L_v9_Racket/descpageRCWILSON-WB100L-EN.html,Wilson
Wilson Blade Feel 100 Racket (Pre Strung),Sale,23,130,99.89,https://www.tenniswarehouse-europe.com/Wilson_Blade_Feel_100_Racket_Pre_Strung_/descpageRCWILSON-WBF122-EN.html,Wilson
Wilson RF 01 PRO Rackets,Reduced,23,300,230.9,https://www.tenniswarehouse-europe.com/Wilson_RF_01_PRO_Rackets/descpageRCWILSON-WRFPR-EN.html,Wilson
Wilson RF 01 Rackets,Reduced,25,280,209.89,https://www.tenniswarehouse-europe.com/Wilson_RF_01_Rackets/descpageRCWILSON-WRF1R-EN.html,Wilson
Wilson RF 01 Future Rackets,Reduced,30,260,179.9,https://www.tenniswarehouse-europe.com/Wilson_RF_01_Future_Rackets/descpageRCWILSON-WRFFR-EN.html,Wilson
Wilson Blade Pro 98 18x20 v9 Racket,New,,,280,https://www.tenniswarehouse-europe.com/Wilson_Blade_Pro_98_18x20_v9_Racket/descpageRCWILSON-WBPROV-EN.html,Wilson
Wilson Blade Pro 98 16x19 v9 Racket,New,,280,280,https://www.tenniswarehouse-europe.com/Wilson_Blade_Pro_98_16x19_v9_Racket/descpageRCWILSON-WBPRO6-EN.html,Wilson
Wilson Shift 99 V1 RG Night Session Racket,New,,270,188.9,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_V1_RG_Night_Session_Racket/descpageRCWILSON-WS99RG-EN.html,Wilson
Wilson US Open Shift 99 L (285g) Racket,Sale,46,250,134.9,https://www.tenniswarehouse-europe.com/Wilson_US_Open_Shift_99_L_285g_Racket/descpageRCWILSON-USS99L-EN.html,Wilson
Wilson US Open Shift 99 (300g) Racket,Sale,40,270,161.89,https://www.tenniswarehouse-europe.com/Wilson_US_Open_Shift_99_300g_Racket/descpageRCWILSON-USSH99-EN.html,Wilson
Wilson Shift 99 Pro (315g) Racket,Reduced,35,270,174.91,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_Pro_315g_Racket/descpageRCWILSON-WSP315-EN.html,Wilson
Wilson Shift 99 (300g) Racket,Reduced,33,270,178.89,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_300g_Racket/descpageRCWILSON-WSP300-EN.html,Wilson
Wilson Shift 99 L (285g) Racket,Reduced,26,250,183.9,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_L_285g_Racket/descpageRCWILSON-WSP285-EN.html,Wilson
Wilson Shift 99 V1 RG Night Session Racket,New,,270,188.9,https://www.tenniswarehouse-europe.com/Wilson_Shift_99_V1_RG_Night_Session_Racket/descpageRCWILSON-WS99RG-EN.html,Wilson
Wilson Pro Staff 97 V14.0 Racket,Reduced,34,320,209.89,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_97_V140_Racket/descpageRCWILSON-W97V14-EN.html,Wilson
Wilson Pro Staff 97L V14.0 Racket,Reduced,32,280,189.89,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_97L_V140_Racket/descpageRCWILSON-97V14L-EN.html,Wilson
Wilson Pro Staff 97UL V14.0 Racket,Reduced,40,250,147.91,https://www.tenniswarehouse-europe.com/Wilson_Pro_Staff_97UL_V140_Racket/descpageRCWILSON-9714UL-EN.html,Wilson
